action_plays,espn_game_id,espn_player_id,first_name,home_away,last_name,opponent,opposition_score,pass_EPA,penalty_EPA,qb_score,raw_QBR,run_EPA,sack_EPA,team_name,total_EPA,total_QBR,week,won_lost,year
21,333132633.0,550021,Nick,away,Marshall,TENN,23,-1.0,0.0,55,99.8,12.8,-0.7,AUB,11.1,99.9,11,W,2013
21,332500077.0,500419,Trevor,home,Siemian,SYR,27,6.1,-0.0,48,99.3,0.1,0.0,NW,6.1,99.4,2,W,2013
28,332640183.0,514440,Terrel,home,Hunt,TULN,17,6.2,-0.1,52,99.1,3.3,0.0,SYR,9.5,99.4,4,W,2013
24,333110024.0,516357,Kevin,home,Hogan,ORE,20,1.5,0.6,26,98.1,4.5,0.0,STAN,6.7,99.1,11,W,2013
26,332500254.0,531051,Travis,home,Wilson,WEB,7,4.0,-0.1,70,99.7,4.9,0.0,UTAH,8.8,99.0,2,W,2013
34,332640239.0,480746,Bryce,home,Petty,ULM,7,6.6,-0.1,70,99.2,0.8,0.0,BAY,7.3,99.0,4,W,2013
32,332570295.0,513949,Taylor,home,Heinicke,HOW,19,8.7,0.1,76,99.6,0.6,0.0,ODU,9.3,99.0,3,W,2013
33,333200251.0,481725,Clint,away,Chelf,TEX,13,5.2,-0.0,38,97.5,5.8,0.0,OKST,11.0,98.9,12,W,2013
40,333340152.0,480846,C.J.,away,Brown,NCST,21,3.8,0.0,41,98.8,9.5,0.0,MD,13.3,98.8,14,W,2013
42,333260023.0,530568,Keenan,away,Reynolds,SJSU,52,1.8,0.0,58,99.3,22.2,-2.0,NAVY,21.9,98.8,13,W,2013
33,332500258.0,511459,Marcus,away,Mariota,UVA,10,1.7,-0.2,59,97.1,7.2,0.0,ORE,8.8,98.7,2,W,2013
24,332420349.0,515360,Angel,home,Santiago,MORG,12,1.4,0.0,28,99.5,8.9,-1.2,ARMY,9.1,98.7,1,W,2013
40,332710009.0,504700,Taylor,home,Kelly,USC,41,8.2,-0.4,62,94.9,3.1,0.0,ASU,10.9,98.6,5,W,2013
25,332570099.0,480251,Zach,home,Mettenberger,KENT,13,7.2,0.4,45,98.7,0.0,0.0,LSU,7.6,98.6,3,W,2013
31,332780239.0,480746,Bryce,home,Petty,WVU,42,6.3,-0.1,73,98.3,1.7,0.0,BAY,7.9,98.5,6,W,2013
31,333270194.0,512838,Braxton,home,Miller,IND,14,-0.1,-0.1,42,98.8,9.5,-1.3,OSU,8.0,98.3,13,W,2013
22,332850127.0,513034,Tre,away,Roberson,MSU,42,3.0,0.0,28,93.1,-0.3,0.0,IND,2.7,98.2,7,L,2013
38,332450221.0,530308,Jameis,away,Winston,PITT,13,12.1,-0.2,41,97.3,1.2,-1.3,FSU,11.8,98.2,1,W,2013
30,332570328.0,512806,Chuckie,home,Keeton,WEB,6,7.5,0.0,70,99.3,0.8,0.0,USU,8.3,98.1,3,W,2013
44,333650344.0,512030,Dak,home,Prescott,RICE,7,8.9,0.3,44,97.8,5.2,-0.4,MSST,14.0,98.1,bowl,W,2013
42,333340030.0,511982,Brett,away,Hundley,USC,14,4.6,0.0,35,91.6,7.1,-1.0,UCLA,10.8,98.0,14,W,2013
24,333162649.0,481228,T.O.,home,Owens,BUFF,41,3.2,0.2,51,98.1,1.4,0.0,TOL,4.8,98.0,12,W,2013
35,333550030.0,513329,Cody,home,Kessler,FRES,20,7.9,0.2,45,97.9,2.3,-0.3,USC,10.1,98.0,bowl,W,2013
22,333062509.0,487797,Kenny,away,Guiton,PUR,0,0.2,-0.0,56,98.3,1.5,0.0,OSU,1.7,98.0,10,W,2013
21,332570183.0,514440,Terrel,home,Hunt,WAG,0,5.8,0.0,54,99.2,0.9,0.0,SYR,6.7,97.9,3,W,2013
29,333130333.0,480251,Zach,away,Mettenberger,ALA,38,8.4,0.0,17,92.2,-0.3,-1.2,LSU,7.0,97.9,11,L,2013
25,332500099.0,480251,Zach,home,Mettenberger,UAB,17,8.8,-0.0,56,99.4,0.4,0.0,LSU,9.1,97.9,2,W,2013
29,333270024.0,516357,Kevin,home,Hogan,CAL,13,8.3,0.3,63,98.5,-0.9,0.0,STAN,7.6,97.8,13,W,2013
31,333410009.0,516357,Kevin,away,Hogan,ASU,14,5.7,0.4,38,93.4,3.5,-1.7,STAN,8.0,97.8,15,W,2013
58,333330023.0,480550,David,home,Fales,FRES,52,17.5,0.6,62,97.8,3.6,0.0,SJSU,21.7,97.7,14,W,2013
24,332992005.0,500923,Thomas,away,Rees,AFA,10,12.6,0.4,45,99.4,0.0,-0.9,ND,12.1,97.6,9,W,2013
34,332780344.0,480251,Zach,away,Mettenberger,MSST,26,13.2,-0.2,59,94.7,0.0,-2.1,LSU,10.9,97.6,6,W,2013
31,332500061.0,480210,Aaron,home,Murray,SC,30,11.1,-0.3,41,92.1,-0.7,-1.4,UGA,8.7,97.5,2,W,2013
41,333342439.0,481338,Caleb,home,Herring,SDSU,19,7.9,0.7,45,97.4,2.6,-0.3,UNLV,10.8,97.5,14,W,2013
28,332992116.0,505719,Blake,home,Bortles,UCONN,17,6.0,-0.3,62,97.9,2.4,0.0,UCF,8.1,97.5,9,W,2013
22,333130057.0,532000,Patton,away,Robinette,FLA,17,0.7,-0.1,34,92.3,5.7,-1.1,VAN,5.2,97.5,11,W,2013
47,333040265.0,504700,Taylor,away,Kelly,WSU,21,5.4,-0.0,55,96.1,6.0,-0.4,ASU,10.9,97.5,10,W,2013
36,332440097.0,511614,Teddy,home,Bridgewater,OHIO,7,9.9,-0.6,49,98.2,0.1,-0.2,LOU,9.3,97.4,1,W,2013
31,333060113.0,482142,Jordan,away,Lynch,UMASS,19,3.6,0.3,63,98.5,6.6,-0.2,NIU,10.4,97.3,10,W,2013
32,332502636.0,511260,J.W.,away,Walsh,UTSA,35,10.3,0.0,56,98.2,1.2,-0.1,OKST,11.4,97.3,2,W,2013
39,332640150.0,514116,Tom,away,Savage,DUKE,55,14.1,-0.4,58,96.5,0.0,-1.0,PITT,12.7,97.2,4,W,2013
26,332780130.0,501543,Devin,home,Gardner,MINN,13,8.5,-0.2,42,96.5,0.6,-0.8,MICH,8.0,97.2,6,W,2013
25,332640024.0,516357,Kevin,home,Hogan,ASU,28,3.0,0.1,42,92.9,1.4,-0.2,STAN,4.2,97.1,4,W,2013
36,333270153.0,516347,Marquise,home,Williams,ODU,20,11.2,-0.1,80,99.2,1.6,0.0,UNC,12.8,97.0,13,W,2013
51,333642641.0,550386,Davis,home,Webb,ASU,23,13.5,0.3,37,92.0,-2.0,0.0,TTU,11.8,97.0,bowl,W,2013
21,332990002.0,550019,Jeremy,home,Johnson,FAU,10,2.3,-0.0,45,95.3,-0.1,0.0,AUB,2.2,97.0,9,W,2013
33,332570213.0,505719,Blake,away,Bortles,PSU,31,9.5,0.9,34,94.9,-0.4,0.0,UCF,10.0,97.0,3,W,2013
33,333270197.0,481725,Clint,home,Chelf,BAY,17,9.2,0.0,49,94.0,-1.1,-1.0,OKST,7.1,97.0,13,W,2013
33,333340130.0,512838,Braxton,away,Miller,MICH,41,3.0,-0.3,42,94.9,9.2,-1.1,OSU,10.7,97.0,14,W,2013
28,332922132.0,377963,Brendon,home,Kay,UCONN,16,6.2,1.3,41,97.5,0.6,0.0,CIN,8.1,96.9,8,W,2013
39,333340059.0,517034,Vad,home,Lee,UGA,41,3.6,-0.0,34,96.1,8.4,0.0,GT,12.0,96.9,14,L,2013
48,332850264.0,511459,Marcus,away,Mariota,WASH,24,9.8,-0.5,45,90.7,3.0,-0.4,ORE,11.9,96.9,7,W,2013
37,332920239.0,480746,Bryce,home,Petty,ISU,7,6.7,0.6,71,96.5,0.4,0.0,BAY,7.6,96.9,8,W,2013
