['HOME TEAM CITY', 'HOME TEAM NAME', 'HOME TEAM PROBABILITY', 'AWAY TEAM CITY', 'AWAY TEAM NAME', 'AWAY TEAM PROBABILITY']
['Buffalo', 'Bills', '75.2', 'New York', 'Jets', '24.6']
['Chicago', 'Bears', '35.9', 'Atlanta', 'Falcons', '63.8']
['Cincinnati', 'Bengals', '58.5', 'Baltimore', 'Ravens', '41.2']
['Cleveland', 'Browns', '25.9', 'Pittsburgh', 'Steelers', '73.9']
['Detroit', 'Lions', '59.1', 'Arizona', 'Cardinals', '40.6']
['Houston', 'Texans', '70.2', 'Jacksonville', 'Jaguars', '29.6']
['Tennessee', 'Titans', '53.6', 'Oakland', 'Raiders', '46.0']
['Washington', 'Redskins', '53.1', 'Philadelphia', 'Eagles', '46.6']
['Los Angeles', 'Rams', '64.3', 'Indianapolis', 'Colts', '35.4']
['Green Bay', 'Packers', '62.0', 'Seattle', 'Seahawks', '37.7']
['San Francisco', '49ers', '37.4', 'Carolina', 'Panthers', '62.3']
['Dallas', 'Cowboys', '66.6', 'New York', 'Giants', '33.1']
['Minnesota', 'Vikings', '64.1', 'New Orleans', 'Saints', '35.6']
['Denver', 'Broncos', '61.5', 'Los Angeles', 'Chargers', '38.2']
