home team city,home team name,home team probability,away team city,away team name,away team probability,tie probabailty
New England,Patriots,74.6,Kansas City,Chiefs,25.2,2.0
Buffalo,Bills,75.2,New York,Jets,24.6,0.19999999999998863
Chicago,Bears,35.9,Atlanta,Falcons,63.8,0.30000000000001137
Cincinnati,Bengals,58.5,Baltimore,Ravens,41.2,0.29999999999999716
Cleveland,Browns,25.9,Pittsburgh,Steelers,73.9,0.19999999999998863
Detroit,Lions,59.1,Arizona,Cardinals,40.6,0.29999999999999716
Houston,Texans,70.2,Jacksonville,Jaguars,29.6,0.19999999999998863
Tennessee,Titans,53.6,Oakland,Raiders,46.0,0.4000000000000057
Washington,Redskins,53.1,Philadelphia,Eagles,46.6,0.29999999999999716
Los Angeles,Rams,64.3,Indianapolis,Colts,35.4,0.30000000000001137
Green Bay,Packers,62.0,Seattle,Seahawks,37.7,0.29999999999999716
San Francisco,49ers,37.4,Carolina,Panthers,62.3,0.30000000000001137
Dallas,Cowboys,66.6,New York,Giants,33.1,0.30000000000001137
Minnesota,Vikings,64.1,New Orleans,Saints,35.6,0.30000000000001137
Denver,Broncos,61.5,Los Angeles,Chargers,38.2,0.29999999999999716
